colaborador,in_degree,out_degree,in_degree_weighted,out_degree_weighted,betweenness,closeness,pagerank
ericrswanny,1,1,1,1,4.593384811052679e-05,0.06494231332357248,6.467447852031693e-05
Lejoni,1,1,1,1,0.0,0.06494231332357248,6.467447852031693e-05
EfeDevirgen,1,0,1,0,0.0,0.06494231332357248,6.467447852031693e-05
h4z-dev,1,0,1,0,0.0,0.06494231332357248,6.467447852031693e-05
ZeraTS,1,0,1,0,0.0,0.06494231332357248,6.467447852031693e-05
42kiko,1,0,1,0,0.0,0.06494231332357248,6.467447852031693e-05
matevzg,1,0,1,0,0.0,0.06494231332357248,6.467447852031693e-05
Kashan-amd,1,0,1,0,0.0,0.06494231332357248,6.467447852031693e-05
Macho0x,1,1,1,1,0.00013899514864990163,0.06488157076349146,6.467447852031693e-05
executionreverted,1,0,1,0,0.0,0.06494231332357248,6.467447852031693e-05
camilonova,1,0,1,0,0.0,0.06494231332357248,6.467447852031693e-05
michaelosmith,1,0,1,0,0.0,0.06494231332357248,6.467447852031693e-05
Travcort,1,0,1,0,0.0,0.06494231332357248,6.467447852031693e-05
vrinek,1,1,1,2,0.00013389460952900728,0.06494231332357248,6.467447852031693e-05
edmooredop,1,0,1,0,0.0,0.06494231332357248,6.467447852031693e-05
mohamedbril,1,0,1,0,0.0,0.06494231332357248,6.467447852031693e-05
Ericode254,1,0,1,0,0.0,0.06494231332357248,6.467447852031693e-05
ikegam,1,0,1,0,0.0,0.06494231332357248,6.467447852031693e-05
xnileshtiwari,1,0,1,0,0.0,0.06494231332357248,6.467447852031693e-05
rulonder,1,1,1,1,0.0,0.06494231332357248,6.467447852031693e-05
DallinTG,1,0,1,0,0.0,0.06494231332357248,6.467447852031693e-05
hossimo,1,0,1,0,0.0,0.06494231332357248,6.467447852031693e-05
themodev,1,0,1,0,0.0,0.06494231332357248,6.467447852031693e-05
MichaelGame-Dev,1,0,1,0,0.0,0.06494231332357248,6.467447852031693e-05
assada,1,1,1,1,2.383991852624592e-05,0.06494231332357248,6.467447852031693e-05
czlowiek488,1,1,1,1,0.0001824443852768927,0.0648469487940339,6.467447852031693e-05
vnijs,1,0,1,0,0.0,0.06494231332357248,6.467447852031693e-05
ajmeese7,1,0,1,0,0.0,0.06494231332357248,6.467447852031693e-05
CwalkPinoy,1,1,1,1,6.472378098841916e-05,0.06488157076349146,6.467447852031693e-05
Rattlyy,2,0,2,0,0.0,0.07031771173149089,6.465708880521739e-05
wqsaali,1,0,1,0,0.0,0.06425690632279597,6.421675230990282e-05
DavidHoenisch,1,1,1,1,1.3402863816717444e-07,0.00036603221083455345,6.421514818880352e-05
rsalas82,1,0,1,0,0.0,0.00036603221083455345,6.421514818880352e-05
marlonmarcello,1,2,3,2,0.0,0.0507050829096048,6.420805487417495e-05
gthelding,1,4,3,12,0.0,0.050690982497227276,6.420805487417495e-05
miharekar,1,1,3,3,0.0,0.0507050829096048,6.420805487417495e-05
chrislewis,1,0,3,0,0.0,0.05076438471999655,6.420805487417495e-05
nicoestrada,1,4,3,6,0.0,0.05076438471999655,6.420805487417495e-05
brianblakely,1,1,3,1,0.00013389460952900728,0.05076438471999655,6.420805487417495e-05
nicfit,1,0,3,0,0.0,0.05076438471999655,6.420805487417495e-05
Antse,1,0,3,0,0.0,0.05076438471999655,6.420805487417495e-05
JavierBertolino,2,0,4,0,0.0,0.059110115282377855,6.412700966490708e-05
albinkc,1,0,1,0,0.0,0.058986034627013594,6.402051350589904e-05
knappkevin,3,0,3,0,0.0,0.07037189605954443,6.382849975644634e-05
zachasme,2,0,3,0,0.0,0.06236990139065991,6.355196659771677e-05
SpaceByBlank,2,0,2,0,0.0,0.07038545519173317,6.352018668597522e-05
CGCM070,1,0,2,0,0.0,0.00018301610541727673,6.336692944815888e-05
BirajMainali,2,0,3,0,0.0,0.061925836996964766,6.332868990860591e-05
Cutipus,1,0,1,0,0.0,0.04830739387002052,6.325386786990649e-05
APS6,2,0,3,0,0.0,0.059005090041204196,6.312680007828085e-05
Matthew-act546,2,0,2,0,0.0,0.05207419992089738,6.309915374532073e-05
ilyasovd,1,0,1,0,0.0,0.058767778707383395,6.300410490348485e-05
bigint,2,0,3,0,0.0,0.07029065084569851,6.296803054649933e-05
lakwey,2,3,3,3,0.0001963186386793551,0.07061195934922691,6.289587832125859e-05
eduardoborges,1,1,1,1,1.3402863816717444e-07,0.00036603221083455345,6.266008049762167e-05
black-adm,2,0,2,0,0.0,0.07041258913745087,6.262054144438311e-05
fcmiranda,2,3,3,3,6.048736655305174e-05,0.06137534446465632,6.261364679746391e-05
rafaelvzago,3,0,3,0,0.0,0.07162755145982258,6.195755852100575e-05
dvalnn,2,0,2,0,0.0,0.07030417868458337,6.173376656400607e-05
liaobinbin,2,0,2,0,0.0,0.07030417868458337,6.158113073474778e-05
DanielApt,2,0,2,0,0.0,0.061519116275698074,6.136196572951e-05
vladkhard,2,0,3,0,0.0,0.055618226620751395,6.130147024454757e-05
morsontologica,1,0,3,0,0.0,0.04203688290507424,6.126381830065684e-05
D-Pagey,1,2,2,3,0.00013362655225267292,0.05889653410663305,6.110028393002077e-05
ThiaudioTT,1,1,2,1,0.0,0.058877510678304025,6.110028393002077e-05
jkthorne,1,1,2,1,0.0,0.05885849953504336,6.110028393002077e-05
Sergiogd112,1,0,2,0,0.0,0.0589479606979337,6.110028393002077e-05
oca159,1,1,2,1,0.0,0.058877510678304025,6.110028393002077e-05
hirschnase,1,0,2,0,0.0,0.0589479606979337,6.110028393002077e-05
martinstork,1,0,2,0,0.0,0.0589479606979337,6.110028393002077e-05
motaz-shokry,1,0,2,0,0.0,0.0589479606979337,6.110028393002077e-05
ImToon,1,0,2,0,0.0,0.0589479606979337,6.110028393002077e-05
ItIsCiprian,1,0,2,0,0.0,0.0589479606979337,6.110028393002077e-05
