source,target,tipo_interacao,peso
dhh,al3rez,comentario,2
dhh,marlonmarcello,comentario,2
dhh,phanirithvij,comentario,2
dhh,opswole,comentario,2
npenza,dhh,comentario,2
kennethgeerts,dhh,comentario,2
dhh,marlonmarcello,comentario,2
Mane-Pal,dhh,comentario,2
ThiaudioTT,npenza,comentario,2
deanpcmad,opswole,comentario,2
hoblin,opswole,comentario,2
hoblin,davidgasquez,comentario,2
dhh,opswole,comentario,2
dhh,c4software,comentario,2
marlonmarcello,npenza,comentario,2
dhh,ryanrhughes,comentario,2
dhh,ryanrhughes,comentario,2
dhh,prabhchintan,comentario,2
dhh,npenza,comentario,2
Mohamedsayhii,ryanrhughes,comentario,2
dhh,ryanrhughes,comentario,2
ludgerpaehler,itsnumpty,comentario,2
dhh,anoldguy,comentario,2
dhh,lajjne,comentario,2
dhh,wriver0s,comentario,2
dhh,anoldguy,comentario,2
ludgerpaehler,itsnumpty,comentario,2
ludgerpaehler,itsnumpty,comentario,2
deanpcmad,ghost,comentario,2
weierfischen,thakur-abhijeet,comentario,2
weierfischen,c4software,comentario,2
weierfischen,thakur-abhijeet,comentario,2
Mane-Pal,dhh,comentario,2
dhh,Mane-Pal,comentario,2
dhh,DrInfinite,comentario,2
dhh,leonhazen,comentario,2
dhh,ghost,comentario,2
dhh,npenza,comentario,2
dhh,ghost,comentario,2
dhh,weierfischen,comentario,2
dhh,ghost,comentario,2
dhh,ghost,comentario,2
dhh,ryanrhughes,comentario,2
LarsEckart,dhh,comentario,2
dhh,ghost,comentario,2
dhh,leonhazen,comentario,2
dhh,ghost,comentario,2
dhh,leonhazen,comentario,2
dhh,c4software,comentario,2
dhh,rnadler,comentario,2
maxguzenski,dhh,comentario,2
maxguzenski,dhh,comentario,2
ghost,dhh,comentario,2
maxguzenski,dhh,comentario,2
maxguzenski,dhh,comentario,2
sgloutnikov,dhh,comentario,2
kennethgeerts,nullndr,comentario,2
ludgerpaehler,itsnumpty,comentario,2
ryanrhughes,dhh,comentario,2
CashWilliams,dhh,comentario,2
CashWilliams,dhh,comentario,2
shubham-mamodiya,genebean,comentario,2
shubham-mamodiya,genebean,comentario,2
ryanyogan,dhh,comentario,2
ludgerpaehler,itsnumpty,comentario,2
dhh,itsnumpty,comentario,2
ryanrhughes,dhh,comentario,2
smola,melonamin,comentario,2
vaxerski,itsnumpty,comentario,2
PaideiaDilemma,diegopluna,comentario,2
Kn0ax,itsnumpty,comentario,2
lucasmoore,weierfischen,comentario,2
lucasmoore,weierfischen,comentario,2
rmacklin,ryanrhughes,comentario,2
lucasmoore,weierfischen,comentario,2
akmcafee,weierfischen,comentario,2
anoldguy,ryanrhughes,comentario,2
lucasmoore,weierfischen,comentario,2
ryanrhughes,npenza,comentario,2
dhh,ryanrhughes,comentario,2
dhh,DrInfinite,comentario,2
dhh,npenza,comentario,2
dhh,apiguy,comentario,2
dhh,icehunt,comentario,2
dhh,jonashan,comentario,2
dhh,ehutzelman,comentario,2
dhh,al3rez,comentario,2
dhh,drewhamlett,comentario,2
dhh,ryanrhughes,comentario,2
dhh,ryanrhughes,comentario,2
anoldguy,startupfoundry,comentario,2
dhh,anoldguy,comentario,2
dhh,busybox11,comentario,2
dhh,ghost,comentario,2
dhh,ryanrhughes,comentario,2
dhh,startupfoundry,comentario,2
dhh,leonhazen,comentario,2
dhh,icehunt,comentario,2
dhh,ryanrhughes,comentario,2
guilhermetk,ahmetkca,comentario,2
weierfischen,ahmetkca,comentario,2
weierfischen,ryanrhughes,comentario,2
maxguzenski,ahmetkca,comentario,2
DrInfinite,hsyed,comentario,2
Kn0ax,busybox11,comentario,2
Kn0ax,busybox11,comentario,2
weierfischen,Awais-Sajid-119,comentario,2
npenza,al3rez,comentario,2
matsest,rnadler,comentario,2
pmd-coutinho,ryanrhughes,comentario,2
dhh,icehunt,comentario,2
dhh,ghost,comentario,2
dhh,abradburne,comentario,2
dhh,abradburne,comentario,2
Ashur-D,Awais-Sajid-119,comentario,2
dhh,hsyed,comentario,2
dhh,drewhamlett,comentario,2
dhh,abradburne,comentario,2
dhh,Awais-Sajid-119,comentario,2
dhh,ryanrhughes,comentario,2
dhh,abradburne,comentario,2
dhh,rockorager,comentario,2
dhh,BigMitchGit,comentario,2
dhh,rockorager,comentario,2
dhh,nullndr,comentario,2
dhh,cannikin,comentario,2
dhh,deas,comentario,2
dhh,apiguy,comentario,2
dhh,abenz1267,comentario,2
dhh,mabq,comentario,2
alexindigo,caiogouveia,comentario,2
dhh,icehunt,comentario,2
dhh,startupfoundry,comentario,2
dhh,anagrius,comentario,2
dhh,reorr,comentario,2
dhh,abenz1267,comentario,2
taylorminton,riegojerey,comentario,2
davelowry,itsnumpty,comentario,2
dhh,jonashan,comentario,2
dhh,jonashan,comentario,2
dhh,Zooce,comentario,2
taylorminton,riegojerey,comentario,2
davelowry,itsnumpty,comentario,2
ghost,Zooce,comentario,2
maxguzenski,Zooce,comentario,2
maxguzenski,Zooce,comentario,2
jkthorne,dhh,comentario,2
npenza,dhh,comentario,2
kennethgeerts,Zooce,comentario,2
abenz1267,jirpok,comentario,2
abenz1267,jirpok,comentario,2
weierfischen,anagrius,comentario,2
dhh,anagrius,comentario,2
dhh,anagrius,comentario,2
codejake,Zooce,comentario,2
dhh,jirpok,comentario,2
dhh,Zooce,comentario,2
dhh,anagrius,comentario,2
ryanrhughes,dhh,comentario,2
danfascia,dhh,comentario,2
abenz1267,dhh,comentario,2
ryanrhughes,abenz1267,comentario,2
ryanyogan,dhh,comentario,2
dhh,danfascia,comentario,2
dhh,danfascia,comentario,2
dhh,HalanoSiblee,comentario,2
dhh,abenz1267,comentario,2
dhh,abenz1267,comentario,2
dhh,nullndr,comentario,2
codejake,genebean,comentario,2
dhh,abenz1267,comentario,2
ryanyogan,ColtonIdle,comentario,2
dhh,abenz1267,comentario,2
ryanyogan,ColtonIdle,comentario,2
ryanyogan,ColtonIdle,comentario,2
dhh,abenz1267,comentario,2
abenz1267,ColtonIdle,comentario,2
abenz1267,ColtonIdle,comentario,2
dhh,abenz1267,comentario,2
dhh,abenz1267,comentario,2
abenz1267,ColtonIdle,comentario,2
dhh,ColtonIdle,comentario,2
dhh,al3rez,comentario,2
dhh,npenza,comentario,2
nickseelert,itsnumpty,comentario,2
dhh,abenz1267,comentario,2
dhh,t0gun,comentario,2
taylorminton,riegojerey,comentario,2
abenz1267,melonamin,comentario,2
dhh,melonamin,comentario,2
dhh,al3rez,comentario,2
dhh,ryanrhughes,comentario,2
dhh,nullndr,comentario,2
dhh,al3rez,comentario,2
ryanyogan,dhh,comentario,2
nickseelert,itsnumpty,comentario,2
dhh,rmacklin,comentario,2
dhh,danfascia,comentario,2
rmacklin,Zooce,comentario,2
dhh,al3rez,comentario,2
dhh,rmacklin,comentario,2
martin-ro,dhh,comentario,2
abenz1267,anagrius,comentario,2
ofrades,ryanrhughes,comentario,2
vaxerski,al3rez,comentario,2
Serendeep,dhh,comentario,2
abenz1267,ghost,comentario,2
incon,ryanrhughes,comentario,2
nickseelert,l4loLX3,comentario,2
jhosdev,ryanrhughes,comentario,2
ituri,dhh,comentario,2
ryanyogan,ryanrhughes,comentario,2
ryanyogan,ghost,comentario,2
dhh,ghost,comentario,2
dhh,ryanrhughes,comentario,2
dhh,ryanyogan,comentario,2
dhh,Serendeep,comentario,2
dhh,Serendeep,comentario,2
dhh,Serendeep,comentario,2
ryanyogan,prertik,comentario,2
dhh,ryanyogan,comentario,2
CyphrRiot,dhh,comentario,2
CyphrRiot,dhh,comentario,2
CyphrRiot,dhh,comentario,2
markstos,melonamin,comentario,2
markstos,ryanrhughes,comentario,2
robzolkos,dhh,comentario,2
CyphrRiot,pelephant2,comentario,2
dhh,ghost,comentario,2
dhh,ghost,comentario,2
0xProt,pelephant2,comentario,2
mlive1992,diegopluna,comentario,2
abenz1267,pelephant2,comentario,2
abenz1267,pelephant2,comentario,2
0xProt,pelephant2,comentario,2
dhh,mjossany,comentario,2
dhh,pelephant2,comentario,2
dhh,maxguzenski,comentario,2
dhh,jkthorne,comentario,2
dhh,ryanyogan,comentario,2
dhh,ryanyogan,comentario,2
dhh,leouofa,comentario,2
dhh,anagrius,comentario,2
dhh,jhosdev,comentario,2
trmcnvn,ryanyogan,comentario,2
dhh,ryanyogan,comentario,2
dhh,ryanyogan,comentario,2
BridgeSenseDev,tanshkoul,comentario,2
dhh,ryanrhughes,comentario,2
dhh,rmacklin,comentario,2
dhh,ryanrhughes,comentario,2
dhh,ryanrhughes,comentario,2
dhh,ryanrhughes,comentario,2
dhh,ryanrhughes,comentario,2
dhh,ryanrhughes,comentario,2
dhh,ryanrhughes,comentario,2
dhh,ryanrhughes,comentario,2
ofrades,ryanrhughes,comentario,2
dhh,ryanrhughes,comentario,2
dhh,melonamin,comentario,2
curtisspendlove,ghost,comentario,2
ryanrhughes,danfascia,comentario,2
dhh,thakur-abhijeet,comentario,2
dhh,BANG88,comentario,2
dhh,ghost,comentario,2
dhh,sjug,comentario,2
dhh,pelephant2,comentario,2
dhh,ryanrhughes,comentario,2
dhh,ryanrhughes,comentario,2
abenz1267,ryanrhughes,comentario,2
abenz1267,ryanrhughes,comentario,2
ryanrhughes,pelephant2,comentario,2
mlive1992,diegopluna,comentario,2
pmd-coutinho,abenz1267,comentario,2
christophergyman,dhh,comentario,2
abenz1267,bruceunx,comentario,2
jirpok,brielov,comentario,2
drewhamlett,dhh,comentario,2
aifrim,dhh,comentario,2
Mohamedsayhii,adaryorg,comentario,2
weierfischen,drewhamlett,comentario,2
dhh,BANG88,comentario,2
aifrim,ryanrhughes,comentario,2
abenz1267,ryanrhughes,comentario,2
dhh,ryanrhughes,comentario,2
dhh,ryanrhughes,comentario,2
dhh,ryanrhughes,comentario,2
aifrim,ryanrhughes,comentario,2
dhh,ryanrhughes,comentario,2
aifrim,ryanrhughes,comentario,2
abenz1267,ryanrhughes,comentario,2
ryanyogan,npenza,comentario,2
abenz1267,ryanrhughes,comentario,2
douglascamata,ElFitaFlores,comentario,2
douglascamata,jonashan,comentario,2
rmacklin,ryanrhughes,comentario,2
dhh,saullrb,comentario,2
dhh,adaryorg,comentario,2
dhh,drewhamlett,comentario,2
dhh,ryanrhughes,comentario,2
dhh,tomaslucas,comentario,2
dhh,brielov,comentario,2
ryanrhughes,ryanyogan,comentario,2
dhh,adaryorg,comentario,2
ryanrhughes,adaryorg,comentario,2
dhh,adaryorg,comentario,2
ryanrhughes,ryanyogan,comentario,2
sailoz,DustinEwers,comentario,2
gotar,riegojerey,comentario,2
kennethgeerts,ElFitaFlores,comentario,2
BridgeSenseDev,zxrovx,comentario,2
benjohnson77,LeAlencar,comentario,2
vaxerski,tomaslucas,comentario,2
kennethgeerts,alexx-avdeev,comentario,2
dhh,alexx-avdeev,comentario,2
dhh,zxrovx,comentario,2
abenz1267,andnig,comentario,2
abenz1267,andnig,comentario,2
dhh,mitsuhiko,comentario,2
abenz1267,mitsuhiko,comentario,2
abenz1267,mitsuhiko,comentario,2
dhh,mitsuhiko,comentario,2
dhh,al3rez,comentario,2
dhh,lypanov,comentario,2
ryanrhughes,danfascia,comentario,2
ryanrhughes,mitsuhiko,comentario,2
ryanrhughes,DustinEwers,comentario,2
dhh,mitsuhiko,comentario,2
dhh,mitsuhiko,comentario,2
aifrim,dhh,comentario,2
al3rez,dhh,comentario,2
mitchellh,dhh,comentario,2
saullrb,dhh,comentario,2
dhh,mitsuhiko,comentario,2
ryanrhughes,ryanyogan,comentario,2
ryanyogan,BANG88,comentario,2
abenz1267,bastos,comentario,2
abenz1267,lukexor,comentario,2
ludo237,aifrim,comentario,2
abenz1267,gregmolnar,comentario,2
ludo237,gregmolnar,comentario,2
ludo237,gregmolnar,comentario,2
dhh,bastos,comentario,2
dhh,bastos,comentario,2
abenz1267,bastos,comentario,2
dhh,mtk3d,comentario,2
dhh,gregmolnar,comentario,2
dhh,aifrim,comentario,2
dhh,spdawson,comentario,2
dhh,aifrim,comentario,2
ludo237,aifrim,comentario,2
dhh,riegojerey,comentario,2
dhh,mitsuhiko,comentario,2
dhh,bastos,comentario,2
dhh,mitsuhiko,comentario,2
dhh,gregmolnar,comentario,2
abenz1267,bastos,comentario,2
dhh,ryanrhughes,comentario,2
dhh,bastos,comentario,2
dhh,mitsuhiko,comentario,2
abenz1267,bastos,comentario,2
abenz1267,bastos,comentario,2
mnakhli-noon,dhh,comentario,2
dhh,bastos,comentario,2
dhh,aifrim,comentario,2
dhh,al3rez,comentario,2
saullrb,dhh,comentario,2
dhh,hyprhex,comentario,2
dhh,ItIsCiprian,comentario,2
dhh,ItIsCiprian,comentario,2
dhh,ludo237,comentario,2
dhh,ryanyogan,comentario,2
dhh,hyprhex,comentario,2
saullrb,dhh,comentario,2
ryanyogan,al3rez,comentario,2
dhh,hyprhex,comentario,2
JaxonWright,aifrim,comentario,2
dhh,hyprhex,comentario,2
dhh,JaxonWright,comentario,2
npenza,JaxonWright,comentario,2
saullrb,dhh,comentario,2
curtisspendlove,ryanyogan,comentario,2
ryanyogan,galihwicaksono90,comentario,2
ghost,gregmolnar,comentario,2
incon,zaneschepke,comentario,2
incon,zaneschepke,comentario,2
incon,zaneschepke,comentario,2
al3rez,zaneschepke,comentario,2
abenz1267,saullrb,comentario,2
weierfischen,zaneschepke,comentario,2
abenz1267,saullrb,comentario,2
dhh,galihwicaksono90,comentario,2
dhh,benhoman,comentario,2
dhh,al3rez,comentario,2
dhh,zaneschepke,comentario,2
curtisspendlove,ryanyogan,comentario,2
abenz1267,apdingman,comentario,2
hyprhex,jirpok,comentario,2
ryanyogan,jirpok,comentario,2
ryanyogan,al3rez,comentario,2
ardavis,diegopluna,comentario,2
dhh,apdingman,comentario,2
dhh,JaxonWright,comentario,2
JaxonWright,dhh,comentario,2
dhh,JaxonWright,comentario,2
dhh,saullrb,comentario,2
JaxonWright,dhh,comentario,2
incon,dhh,comentario,2
rossvz,opswole,comentario,2
JaxonWright,rthabett,comentario,2
dhh,ssimk0,comentario,2
dhh,zdehasek,comentario,2
JaxonWright,aifrim,comentario,2
rmacklin,EskelinenAntti,comentario,2
saullrb,aifrim,comentario,2
saullrb,aifrim,comentario,2
yuters,ryanrhughes,comentario,2
dhh,edanidzerda,comentario,2
dhh,danfascia,comentario,2
ryanrhughes,danfascia,comentario,2
JaxonWright,SYKwong,comentario,2
abenz1267,danfascia,comentario,2
abenz1267,danfascia,comentario,2
sailoz,MrTrigger,comentario,2
dhh,saullrb,comentario,2
dhh,JaxonWright,comentario,2
dhh,7acini,comentario,2
dhh,Xarianne,comentario,2
dhh,danfascia,comentario,2
dhh,saullrb,comentario,2
dhh,saullrb,comentario,2
jelenv,MrTrigger,comentario,2
dhh,tahayvr,comentario,2
jelenv,ryanrhughes,comentario,2
dhh,ryanrhughes,comentario,2
dhh,ryanyogan,comentario,2
dhh,spdawson,comentario,2
dhh,saullrb,comentario,2
ryanrhughes,danfascia,comentario,2
dhh,ryanrhughes,comentario,2
JaxonWright,dhh,comentario,2
mitchellh,rossvz,comentario,2
rblalock,danfascia,comentario,2
dhh,ryanrhughes,comentario,2
curtisspendlove,ryanyogan,comentario,2
dhh,spdawson,comentario,2
JaxonWright,dhh,comentario,2
dhh,danfascia,comentario,2
ludo237,zaneschepke,comentario,2
rthabett,SatoriSec,comentario,2
marcelzimmer,SatoriSec,comentario,2
dhh,zaneschepke,comentario,2
ardavis,diegopluna,comentario,2
Serendeep,dhh,comentario,2
abenz1267,zaneschepke,comentario,2
gal-checksum,c4software,comentario,2
abenz1267,zaneschepke,comentario,2
trly,jzetterman,comentario,2
trly,jzetterman,comentario,2
ryanrhughes,jzetterman,comentario,2
ryanrhughes,ipmanlk,comentario,2
ryanrhughes,JaxonWright,comentario,2
ryanrhughes,ardavis,comentario,2
dhh,sailoz,comentario,2
dhh,marcinczenko,comentario,2
dhh,SatoriSec,comentario,2
dhh,gthelding,comentario,2
dhh,Gazler,comentario,2
abenz1267,tahayvr,comentario,2
dhh,xulfm,comentario,2
ludo237,Gazler,comentario,2
ludo237,tahayvr,comentario,2
abenz1267,tahayvr,comentario,2
weierfischen,tahayvr,comentario,2
abenz1267,tahayvr,comentario,2
jardahrazdera,jzetterman,comentario,2
jardahrazdera,ipmanlk,comentario,2
ryanrhughes,jzetterman,comentario,2
sailoz,emourad,comentario,2
Zooce,Gazler,comentario,2
ludo237,Gazler,comentario,2
dhh,Mohamedsayhii,comentario,2
dhh,Gazler,comentario,2
dhh,marcinczenko,comentario,2
dhh,marcinczenko,comentario,2
dhh,ardavis,comentario,2
jardahrazdera,hyprhex,comentario,2
dhh,marcinczenko,comentario,2
dhh,hyprhex,comentario,2
dhh,ardavis,comentario,2
mfornasa,marcinczenko,comentario,2
dhh,wesleycole,comentario,2
dhh,ardavis,comentario,2
dhh,scossar,comentario,2
guilhermetk,dhh,comentario,2
gthelding,scossar,comentario,2
zaneschepke,dhh,comentario,2
gthelding,scossar,comentario,2
gthelding,scossar,comentario,2
ryanrhughes,ardavis,comentario,2
gthelding,scossar,comentario,2
martin-ro,dhh,comentario,2
gthelding,scossar,comentario,2
curtisspendlove,tahayvr,comentario,2
curtisspendlove,tahayvr,comentario,2
curtisspendlove,tahayvr,comentario,2
ludo237,Merovex,comentario,2
sailoz,Merovex,comentario,2
Mujhtech,Merovex,comentario,2
dhh,tahayvr,comentario,2
dhh,ardavis,comentario,2
dhh,madcatone,comentario,2
dhh,gal064,comentario,2
dhh,ardavis,comentario,2
dhh,SYKwong,comentario,2
dhh,saullrb,comentario,2
dhh,rossvz,comentario,2
dhh,rossvz,comentario,2
dhh,CWood-sdf,comentario,2
dhh,ardavis,comentario,2
dhh,JaxonWright,comentario,2
dhh,Merovex,comentario,2
dhh,Merovex,comentario,2
rmrten,Merovex,comentario,2
dhh,Merovex,comentario,2
rmrten,Merovex,comentario,2
rmrten,Merovex,comentario,2
dhh,ardavis,comentario,2
dhh,githubpoet,comentario,2
dhh,sspaeti,comentario,2
RaphaelKimmig,ryanrhughes,comentario,2
abenz1267,githubpoet,comentario,2
BridgeSenseDev,RaphaelKimmig,comentario,2
abenz1267,githubpoet,comentario,2
gthelding,scossar,comentario,2
dhh,toni-ds,comentario,2
dhh,med502,comentario,2
dhh,toni-ds,comentario,2
dhh,med502,comentario,2
dhh,med502,comentario,2
stephenheron,emourad,comentario,2
dhh,med502,comentario,2
dhh,med502,comentario,2
dhh,sailoz,comentario,2
dhh,marlonmarcello,comentario,2
dhh,ardavis,comentario,2
ahkohd,opswole,comentario,2
ryanrhughes,ituri,comentario,2
incon,ColtonIdle,comentario,2
deas,curtisspendlove,comentario,2
deas,curtisspendlove,comentario,2
AndreRobitaille,curtisspendlove,comentario,2
dhh,LeonardoTrapani,comentario,2
dhh,ColtonIdle,comentario,2
dhh,chris-mulvi-data,comentario,2
deas,curtisspendlove,comentario,2
dhh,chris-mulvi-data,comentario,2
dhh,LeonardoTrapani,comentario,2
dhh,Mohamedsayhii,comentario,2
dhh,Mohamedsayhii,comentario,2
JaxonWright,Merovex,comentario,2
Pintjebier,adaryorg,comentario,2
dhh,Merovex,comentario,2
dhh,Mohamedsayhii,comentario,2
rosscondie,sspaeti,comentario,2
dhh,Mohamedsayhii,comentario,2
dhh,l0gicgate,comentario,2
dhh,pelephant2,comentario,2
dhh,Jairisen,comentario,2
tahayvr,dhh,comentario,2
ryanrhughes,ituri,comentario,2
ryanrhughes,JaxonWright,comentario,2
j5onrf,dhh,comentario,2
ryanrhughes,Merovex,comentario,2
JaxonWright,dhh,comentario,2
ryanrhughes,RaphaelKimmig,comentario,2
ryanrhughes,brink-lab,comentario,2
ludo237,JaxonWright,comentario,2
riegojerey,JaxonWright,comentario,2
ryanrhughes,njkevlani,comentario,2
tahayvr,dhh,comentario,2
ryanrhughes,ludo237,comentario,2
Pintjebier,adaryorg,comentario,2
abenz1267,pelephant2,comentario,2
abenz1267,pelephant2,comentario,2
dhh,JaxonWright,comentario,2
dhh,ludo237,comentario,2
dhh,Serendeep,comentario,2
ryanrhughes,adaryorg,comentario,2
Pintjebier,adaryorg,comentario,2
A-Kushwah,al3rez,comentario,2
swombat,dhh,comentario,2
swombat,dhh,comentario,2
dhh,tahayvr,comentario,2
dhh,endrebak,comentario,2
dhh,al3rez,comentario,2
dhh,JaxonWright,comentario,2
dhh,ColtonIdle,comentario,2
dhh,rosscondie,comentario,2
dhh,rosscondie,comentario,2
dhh,riegojerey,comentario,2
sailoz,emourad,comentario,2
dhh,sailoz,comentario,2
dhh,rosscondie,comentario,2
dhh,sailoz,comentario,2
dhh,spdawson,comentario,2
dhh,spdawson,comentario,2
dhh,spdawson,comentario,2
abenz1267,spdawson,comentario,2
dhh,spdawson,comentario,2
dhh,busybox11,comentario,2
dhh,rockorager,comentario,2
dhh,rockorager,comentario,2
dhh,rockorager,comentario,2
dhh,erik-brueggemann,comentario,2
dhh,zaneschepke,comentario,2
dhh,njkevlani,comentario,2
dhh,erik-brueggemann,comentario,2
dhh,erik-brueggemann,comentario,2
dhh,SuspendTV,comentario,2
douglascamata,spdawson,comentario,2
douglascamata,spdawson,comentario,2
dhh,LeonardoTrapani,comentario,2
tighthead3,WillEhrendreich,comentario,2
samandmoore,rosscondie,comentario,2
jelenv,danfascia,comentario,2
ryanrhughes,danfascia,comentario,2
ryanrhughes,endrebak,comentario,2
douglascamata,dhh,comentario,2
mitchellh,dhh,comentario,2
ryanrhughes,MrTrigger,comentario,2
jelenv,danfascia,comentario,2
weierfischen,ryanrhughes,comentario,2
ryanrhughes,danfascia,comentario,2
dhh,precision,comentario,2
dhh,LeonardoTrapani,comentario,2
dhh,tahayvr,comentario,2
dhh,ElFitaFlores,comentario,2
dhh,jkthorne,comentario,2
dhh,ArchGalileu,comentario,2
tjdevries,tahayvr,comentario,2
dhh,precision,comentario,2
ryanrhughes,elvinaspredkelis,comentario,2
guilhermetk,githubpoet,comentario,2
JaxonWright,galihwicaksono90,comentario,2
sspaeti,ArchGalileu,comentario,2
sailoz,Mohamedsayhii,comentario,2
abenz1267,ArchGalileu,comentario,2
abenz1267,ArchGalileu,comentario,2
