colaborador,in_degree,out_degree,in_degree_weighted,out_degree_weighted,betweenness,closeness,pagerank
AnubhavPabby,8,0,11,0,0.0,0.05383220595967444,0.00034737421861436165
Coding4Hours,5,0,6,0,0.0,0.07147753515263924,0.00034403884087597005
benWindsorCode,5,3,5,3,0.001424296285787913,0.06810241649941465,0.000338583766616308
sepulworld,4,3,10,14,0.00018212860869279993,0.059168760221158405,0.0003385479992996399
danfascia,11,1,35,1,0.0014298243187595367,0.052077059930749375,0.0003352026399758515
Doc-4,4,3,5,10,0.00045151395488290307,0.07230590262140689,0.00033480078115919224
nunix,7,0,7,0,0.0,0.0026545316647705727,0.000334770659590599
robertobarreda,7,0,22,0,0.0,0.055748269675579415,0.00033453047635299924
ryrobes,8,1,12,1,0.0011952765002070495,0.04722543639873939,0.0003337953048815727
lentra0,8,0,19,0,0.0,0.05884751314645186,0.0003304601678817574
jackos,4,0,5,0,0.0,0.0533646992692729,0.00032741259711691685
odnmalau,9,0,11,0,0.0,0.05307271225479716,0.00032642449237521305
wleme,7,1,8,1,0.000947203113745914,0.056962639779922775,0.00032630873418735575
a-sologub,4,0,7,0,0.0,0.06069274422931363,0.0003254454126547317
pedrodrocha,5,1,6,1,8.841659836418664e-05,0.04848469683922686,0.00032508779219843755
vaqMAD,8,23,11,33,0.0026831943582239616,0.06287171695792727,0.000324087882220587
RushiChaganti,7,4,61,7,0.000901474273063246,0.04105542582280502,0.00032298492051237716
Eim-31,4,0,12,0,0.0,0.03636776024726023,0.0003203847241071811
ludagoo,8,2,19,2,0.0019050678910936176,0.05846958792224877,0.0003188359102954841
oliverperboni,6,0,11,0,0.0,0.04656004581754043,0.00031772755677895943
fabiokr,8,0,13,0,0.0,0.05963257866029153,0.00031622633107735386
satyapraneet63,8,1,12,1,4.1213374926502564e-05,0.06813941770213101,0.0003135250470192833
muhlinux,4,0,7,0,0.0,0.04434055862090342,0.0003117120717337714
mtalha-codes,8,0,12,0,0.0,0.045192736966683446,0.0003096473906946894
XNinety9,6,1,13,1,2.2309424936220114e-06,0.04482107073904968,0.0003080116995835387
grimy192837465,8,0,10,0,0.0,0.06002700222311434,0.00030724944201856243
huuaho,5,0,7,0,0.0,0.054457620649422535,0.00030686326797304094
bhood239,8,0,13,0,0.0,0.06909799291450933,0.0003050109395360443
martinmose,5,2,17,3,0.0005474663854910414,0.04479429313865026,0.0003048516736392226
felixzsh,5,3,6,3,0.0009036553155590168,0.05801934958333051,0.0002996957621259797
tobiasz-p,7,0,16,0,0.0,0.05373516569628767,0.00029945216376486014
Kn0ax,7,4,30,28,0.001082989072858924,0.049503145217134614,0.00029917843585872686
tuntaukA,1,0,1,0,0.0,0.05594074455485145,0.0002986444003245985
h4636oh,2,0,8,0,0.0,0.05047871947211462,0.0002981488304999074
euandeas,7,1,9,2,0.0019500930162531752,0.06262232027184558,0.00029565648028274634
mlabbe,3,2,3,3,0.0008248521958015638,0.06329182197769197,0.00029471744194252934
sircode,3,0,7,0,0.0,0.06295699147875115,0.0002937263002250724
przemekmatsumoto,6,0,13,0,0.0,0.05761936717444608,0.00029365544207302514
JPHultra,4,0,5,0,0.0,0.05849303561858636,0.000292767618860371
putueddy,3,0,7,0,0.0,0.061532055155191494,0.0002915893845851814
agata,1,1,2,1,7.064948645686873e-06,0.05191937520100997,0.0002912985955324279
mitalia,2,0,3,0,0.0,0.05105535205049439,0.0002895583887828465
negoro26,5,0,6,0,0.0,0.07255559770938258,0.00028902499958304316
riegojerey,6,3,14,4,0.0007856941221545115,0.051145103906070744,0.0002885553854501295
anime-in-the-world,6,3,9,3,0.00023764755962395352,0.05921089512126757,0.0002831758051111702
