colaborador,degree,degree_weighted,degree_centrality,betweenness,closeness,eigenvector,pagerank,clustering_local,grupo_comunidade
sk4rrjin,4,5,0.0015168752370117557,0.001672457339749706,0.23114122534074744,0.0,0.0002827109286850879,0.01491210117001191,2
timmo001,3,5,0.0011376564277588168,0.0005443980831446438,0.19613623102684816,0.0,0.0002827071055396542,0.027809310480373637,1
havard-vold,4,5,0.0015168752370117557,0.0007835363383008108,0.24521814556450564,0.0,0.000282561562722474,0.014650244766219454,1
phara0n,4,5,0.0015168752370117557,0.0017200795385031152,0.2561428401930803,0.0,0.00028242924648246183,0.02541252353358685,14
kernel0verflow,2,2,0.0007584376185058779,0.0007403110745127556,0.17756219925469435,0.0,0.0002823318471049469,0.0,25
Else00,4,5,0.0015168752370117557,0.0002052417298245925,0.20779961289007734,0.0,0.0002822514559573454,0.0061527172556906954,6
addi-G998,1,2,0.0003792188092529389,0.0,0.11958046354071318,0.0,0.00028216332207099334,0.0,8
ih8d8,3,5,0.0011376564277588168,3.3715573738028863e-06,0.1971056028441143,0.0,0.0002818090915146488,0.02527070581313855,6
cometaj2,3,4,0.0011376564277588168,3.847307078291024e-05,0.20257237115648832,0.0,0.00028168023661338007,0.0,7
rami-shalhoub,2,3,0.0007584376185058779,0.0007403110745127559,0.24386150824555225,0.0,0.00027981116190021115,0.0,1
KrisKind75,2,3,0.0007584376185058779,0.0007403110745127559,0.24386150824555225,0.0,0.00027981116190021115,0.0,1
xianlin,2,4,0.0007584376185058779,0.0,0.19383622276299375,0.0,0.00027974334909507896,0.0,2
637ms,3,5,0.0011376564277588168,9.540572175157857e-05,0.203310011284506,0.0,0.0002796844638985151,0.015503875968992248,24
danielnolan,3,4,0.0011376564277588168,0.0007403110745127556,0.24364867333726967,0.0,0.0002795972819730509,0.023539449394384977,2
LiamBateman,3,4,0.0011376564277588168,0.0014916450448752227,0.2139941333322481,0.0,0.0002791679851516943,0.015503875968992248,25
thrillho93,3,4,0.0011376564277588168,0.0007403110745127557,0.21792914558538684,0.0,0.0002788978697856012,0.018683273365699457,15
Ptark,3,4,0.0011376564277588168,0.0007403110745127556,0.21085138632543848,0.0,0.0002781760265721971,0.009766829844146303,2
