colaborador,degree,betweenness,closeness,pagerank,eigenvector
0xMarius,0.0007584376185058779,0.0,0.16678870946985694,0.0001965310689147897,0.017836523766527612
impost0r,0.0007584376185058779,0.0,0.16678870946985694,0.0001965310689147897,0.017836523766527612
HamzaHeikal2011,0.0003792188092529389,0.0,0.07622891745916034,0.00019592175296388444,3.8521747711037153e-07
crmne,0.0007584376185058779,1.3666838724973141e-06,0.13352315031375483,0.0001952857748622076,0.001605040695402946
sudomateo,0.0003792188092529389,0.0,0.09666083635801657,0.0001918530468036848,0.003212806134555546
einarthegolden,0.0003792188092529389,0.0,0.08243397485002542,0.00019184468234196802,1.3323376146413393e-06
melpomene,0.0003792188092529389,0.0,0.10195200127633196,0.00019174517077989983,0.0059504852854680495
limxuan,0.0003792188092529389,0.0,0.10195200127633196,0.00019174517077989983,0.0059504852854680495
joaomendoncaa,0.0007584376185058779,0.0,0.13008051356220166,0.0001909991645743905,0.004215507373725669
itsscb,0.0003792188092529389,0.0,0.10014369323025729,0.00019084492843436662,0.0013617488516389086
tjdevries,0.0003792188092529389,0.0,0.09053420003797653,0.00019075382305915194,0.0030960769957254454
diogonapoles,0.0003792188092529389,0.0,0.09142366346895878,0.00019025315836888125,0.002480529461983288
ykolodyazhny,0.0003792188092529389,0.0,0.10526668005085994,0.0001898993243042329,2.606080592205643e-05
CAVALICIOUSDEV,0.0003792188092529389,0.0,0.10526668005085994,0.0001898993243042329,2.606080592205643e-05
cinco,0.0003792188092529389,0.0,0.10526668005085994,0.0001898993243042329,2.606080592205643e-05
andich-xyz,0.0003792188092529389,0.0,0.10526668005085994,0.0001898993243042329,2.606080592205643e-05
Dimonnnnchik,0.0003792188092529389,0.0,0.10526668005085994,0.0001898993243042329,2.606080592205643e-05
m0unds,0.0003792188092529389,0.0,0.09952486113899485,0.00018744563304881734,1.1741751466674111e-05
NickTheWilder,0.0003792188092529389,0.0,0.09952486113899485,0.00018744563304881734,1.1741751466674111e-05
RVZO6,0.0003792188092529389,0.0,0.09999622381015381,0.00018665325205538736,1.4569541165226931e-05
vinnividivicci,0.0003792188092529389,0.0,0.09999622381015381,0.00018665325205538736,1.4569541165226931e-05
Julian194,0.0003792188092529389,0.0,0.09999622381015381,0.00018665325205538736,1.4569541165226931e-05
k0st1e,0.0003792188092529389,0.0,0.10564734334597278,0.00018659869585257159,2.729432997850112e-05
mirhec,0.0003792188092529389,0.0,0.10564734334597278,0.00018659869585257159,2.729432997850112e-05
marcelbeumer,0.0003792188092529389,0.0,0.0896394847998118,0.00018657713248809276,7.800112299736958e-06
kettleofketchup,0.0003792188092529389,0.0,0.0896394847998118,0.00018657713248809276,7.800112299736958e-06
asfarley,0.0003792188092529389,0.0,0.10225906062083537,0.00018623534150177118,2.3604123154614544e-05
brad,0.0003792188092529389,0.0,0.10225906062083537,0.00018623534150177118,2.3604123154614544e-05
klausmeyer,0.0003792188092529389,0.0,0.10225906062083537,0.00018623534150177118,2.3604123154614544e-05
RecklezzNexus,0.0003792188092529389,0.0,0.08664109519134883,0.00018604424575167415,1.2713935101783879e-06
erzz,0.0003792188092529389,0.0,0.08664109519134883,0.00018604424575167415,1.2713935101783879e-06
MountVesuvius,0.0003792188092529389,0.0,0.08664109519134883,0.00018604424575167415,1.2713935101783879e-06
