colaborador,degree,degree_weighted,degree_centrality,betweenness,closeness,eigenvector,pagerank,clustering_local,grupo_comunidade
Pintjebier,13,31,0.00462962962962963,0.0030931737316639354,0.22542747044600614,0.0,0.0014294852810690793,0.008746346460614774,2
Furyfree,14,33,0.004985754985754986,0.0032742710811357726,0.20859114732389855,0.0,0.0014280327068264714,0.013015614091719929,1
fpigeonjr,18,22,0.006410256410256411,0.007766094705656179,0.22382454799428197,0.0,0.0014200533398396047,0.0021546847921960865,19
bragmore,14,18,0.004985754985754986,0.006584005363570758,0.18637494056308493,0.0,0.0014185293270594314,0.000464380422395129,9
guilhermetk,26,32,0.00925925925925926,0.01517671401507909,0.2685535126692409,0.0,0.0014151933679972094,0.003087654536245763,3
chriopter,12,35,0.004273504273504274,0.0016351766814275241,0.22531357025041238,0.0,0.0014051763354111435,0.012294380699200282,3
wouterbouvy,13,18,0.00462962962962963,0.005869628770140237,0.18878139044123665,0.0,0.0013961848066431897,0.0,15
alcides,13,14,0.00462962962962963,0.006463443760811594,0.1888346846441984,0.0,0.001393884783271691,0.0009465718854908762,16
joelgaff,10,32,0.0035612535612535613,0.0022989596332153436,0.21922151960046268,0.0,0.0013823801312980194,0.011684210444966913,10
Rishabh-Sarang,17,29,0.006054131054131055,0.011799638361579736,0.25786417181222504,0.0,0.0013597448980886882,0.007734101660847659,2
brink-lab,17,34,0.006054131054131055,0.026288962212428768,0.28226591905513737,0.0,0.0013557593185540137,0.007332656974276351,2
eifr,7,32,0.002492877492877493,0.0014373651183012205,0.1896915027808328,0.0,0.0013525306260672527,0.020267582450158413,4
JaxonWright,20,27,0.007122507122507123,0.004943047463994154,0.21547867010740493,0.0,0.0013442228485743826,0.00581289600178713,12
melonamin,11,32,0.003917378917378918,0.0014730473660651319,0.20219138870427317,0.0,0.001342846321116925,0.022832378107402962,2
guirossibrum,15,22,0.005341880341880342,0.009967052395522666,0.22079539913547178,0.0,0.0013160836257653423,0.004772975237734029,7
Veltair-D,10,36,0.0035612535612535613,0.0016874461886824436,0.22533254562267535,0.0,0.0012974053903679937,0.016470518525964012,1
iamobservable,13,26,0.00462962962962963,0.003592606063052446,0.1976945948517546,0.0,0.0012522190194241114,0.009128318539098129,2
SatoriSec,13,27,0.00462962962962963,0.0026269411399745153,0.20181012571456078,0.0,0.0012481349651226534,0.010482627905372582,3
rmacklin,15,30,0.005341880341880342,0.001529330630713848,0.222855126330472,0.0,0.00123319134769132,0.014501030995752938,2
GiraffeCoding,15,21,0.005341880341880342,0.006264906990746898,0.24917104178838206,0.0,0.0012253463193403467,0.004245854029525227,8
colutti,17,24,0.006054131054131055,0.005491166786250646,0.22780746247114916,0.0,0.001208276109233379,0.004571918079893078,2
Roman-Weisman,10,21,0.0035612535612535613,0.004784010183229972,0.21859466068003652,0.0,0.001207387003729886,0.0028017089293042893,3
wekauwau,15,20,0.005341880341880342,0.004939290645861032,0.22664961005706452,0.0,0.0012025392391641879,0.0,12
nunix,9,9,0.0032051282051282055,0.004883160023531689,0.16962080935232957,0.0,0.0011955191965957006,0.0,5
OmarSkalli,14,27,0.004985754985754986,0.002300138127565815,0.22889884906524485,0.0,0.0011751533608787453,0.010527215842756739,3
andnig,5,31,0.0017806267806267807,0.00013276746736007832,0.23089391152257913,0.0,0.0011640077156517086,0.057150432564553114,2
NicolasDorier,12,21,0.004273504273504274,0.004176078177229558,0.2202864026612586,0.0,0.0011555800870173129,0.005921305377054073,2
jamesmcm,12,32,0.004273504273504274,0.004014589506189878,0.262958097958098,0.0,0.0011525404905783597,0.009371188802713868,1
alexperreault,13,29,0.00462962962962963,0.0011405655657300685,0.20277367538640748,0.0,0.001150306733566744,0.01337520879100973,1
socket72,12,18,0.004273504273504274,0.004501544046035086,0.2200508797371204,0.0,0.001149550215961741,0.0024480232928580413,2
Matt-Ord,14,19,0.004985754985754986,0.006340171292933522,0.21476951731607377,0.0,0.0011455736233161981,0.0009167904553969332,7
dcunited001,9,21,0.0032051282051282055,0.000762621931274153,0.18067382312942445,0.0,0.0011414622412273783,0.0,15
jankeesvw,8,24,0.002849002849002849,0.00401043608878651,0.25071201712178104,0.0,0.001132662263927954,0.009927546193363028,22
nemoralis,15,19,0.005341880341880342,0.005443686362089448,0.22738154557012383,0.0,0.0011287107689317085,0.0035755179418153512,2
arcbjorn,11,26,0.003917378917378918,0.0015515733428787383,0.21601797567605738,0.0,0.0011199998659111093,0.01249459144587882,4
amanat361,12,14,0.004273504273504274,0.005422686411654197,0.23207551797412151,0.0,0.001117821628293369,0.0014365897261194548,2
